"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","    27231.40","    27430.55","    27019.05","    27392.40","      116379065","         3497.39"
"02-Jan-2019","    27297.00","    27397.55","    27077.60","    27174.70","      176599164","         4422.44"
"03-Jan-2019","    27181.60","    27206.20","    26923.75","    26959.85","      151201387","         4032.83"
"04-Jan-2019","    26999.70","    27274.50","    26926.10","    27195.00","      189451222","         4440.79"
"07-Jan-2019","    27378.65","    27477.80","    27279.55","    27304.55","      161026470","         4112.84"
"08-Jan-2019","    27301.90","    27542.40","    27161.95","    27509.50","      150550286","         4359.43"
"09-Jan-2019","    27651.25","    27754.45","    27409.50","    27720.40","      199818392","         6148.74"
"10-Jan-2019","    27713.55","    27713.55","    27488.20","    27528.55","      139266179","         4308.94"
"11-Jan-2019","    27602.80","    27612.45","    27382.45","    27453.90","      116552104","         3510.63"
"14-Jan-2019","    27389.20","    27389.80","    27182.20","    27248.25","      212863498","         4859.32"
"15-Jan-2019","    27317.55","    27447.55","    27317.10","    27400.75","      161396521","         3884.40"
"16-Jan-2019","    27405.65","    27554.75","    27403.05","    27483.70","      183688179","         4155.93"
"17-Jan-2019","    27568.60","    27611.55","    27335.15","    27528.75","      212321274","         4941.09"
"18-Jan-2019","    27550.05","    27576.45","    27410.65","    27456.70","      129067258","         3343.81"
"21-Jan-2019","    27514.55","    27622.20","    27388.50","    27533.60","      128881764","         4626.77"
"22-Jan-2019","    27526.55","    27533.35","    27385.40","    27482.25","      138997867","         4661.51"
"23-Jan-2019","    27493.10","    27564.70","    27189.60","    27250.75","      126935738","         3525.23"
"24-Jan-2019","    27273.50","    27342.35","    27142.80","    27266.40","      210279603","         5373.42"
"25-Jan-2019","    27261.45","    27433.55","    27045.20","    27115.30","      284535180","         7269.49"
"28-Jan-2019","    27041.45","    27134.20","    26587.95","    26653.05","      181836992","         5404.63"
"29-Jan-2019","    26616.25","    26743.85","    26441.55","    26573.40","      194369347","         5235.15"
"30-Jan-2019","    26789.75","    26916.25","    26693.70","    26825.50","      249270714","         8955.81"
"31-Jan-2019","    26969.15","    27325.05","    26891.05","    27295.45","      306292995","         9985.48"
